month,sza_bin,sfi_bin,spot_count,snr_median,date
2023-02,60,Low (100-160),17924,-16.0,2023-02-23
2023-02,65,Low (100-160),14759,-17.0,2023-02-23
2023-02,70,Low (100-160),10870,-17.0,2023-02-23
2023-02,75,Low (100-160),7380,-16.0,2023-02-23
2023-02,80,Low (100-160),2089,-16.0,2023-02-23
2023-02,85,Low (100-160),270,-19.0,2023-02-23
2023-02,35,Med (160-200),49,-20.0,2023-02-24
2023-02,40,Med (160-200),3649,-16.0,2023-02-24
2023-02,45,Med (160-200),18057,-16.0,2023-02-24
2023-02,50,Med (160-200),21799,-16.0,2023-02-24
2023-02,55,Med (160-200),19890,-16.0,2023-02-24
2023-02,60,Med (160-200),15986,-17.0,2023-02-24
2023-02,65,Med (160-200),12228,-17.0,2023-02-24
2023-02,70,Med (160-200),9751,-17.0,2023-02-24
2023-02,75,Med (160-200),6270,-17.0,2023-02-24
2023-02,80,Med (160-200),1360,-17.0,2023-02-24
2023-02,85,Med (160-200),153,-20.0,2023-02-24
2023-02,35,Very High (250+),35,-23.0,2023-02-25
2023-02,40,Very High (250+),3504,-15.0,2023-02-25
2023-02,45,Very High (250+),18224,-16.0,2023-02-25
2023-02,50,Very High (250+),25113,-16.0,2023-02-25
2023-02,55,Very High (250+),24805,-16.0,2023-02-25
2023-02,60,Very High (250+),21492,-16.0,2023-02-25
2023-02,65,Very High (250+),19199,-16.0,2023-02-25
2023-02,70,Very High (250+),14506,-16.0,2023-02-25
2023-02,75,Very High (250+),8037,-15.0,2023-02-25
2023-02,80,Very High (250+),2418,-16.0,2023-02-25
2023-02,85,Very High (250+),344,-18.0,2023-02-25
2023-02,35,Low (100-160),65,-20.0,2023-02-26
2023-02,40,Low (100-160),5605,-15.0,2023-02-26
2023-02,45,Low (100-160),25653,-15.0,2023-02-26
2023-02,50,Low (100-160),30306,-15.0,2023-02-26
2023-02,55,Low (100-160),23880,-15.0,2023-02-26
2023-02,60,Low (100-160),20771,-16.0,2023-02-26
2023-02,65,Low (100-160),15666,-16.0,2023-02-26
2023-02,70,Low (100-160),12065,-16.0,2023-02-26
2023-02,75,Low (100-160),7334,-16.0,2023-02-26
2023-02,80,Low (100-160),1544,-16.0,2023-02-26
2023-02,85,Low (100-160),262,-17.0,2023-02-26
2023-03,25,Low (100-160),2,-19.0,2023-03-20
2023-03,30,Low (100-160),1987,-18.0,2023-03-20
2023-03,35,Low (100-160),14266,-17.0,2023-03-20
2023-03,40,Low (100-160),25164,-17.0,2023-03-20
2023-03,45,Low (100-160),24211,-17.0,2023-03-20
2023-03,50,Low (100-160),18612,-17.0,2023-03-20
2023-03,55,Low (100-160),14698,-17.0,2023-03-20
2023-03,60,Low (100-160),12480,-17.0,2023-03-20
2023-03,65,Low (100-160),10547,-17.0,2023-03-20
2023-03,70,Low (100-160),8221,-17.0,2023-03-20
2023-03,75,Low (100-160),3912,-17.0,2023-03-20
2023-03,80,Low (100-160),767,-16.0,2023-03-20
2023-03,85,Low (100-160),105,-18.0,2023-03-20
2023-03,25,Low (100-160),10,-23.0,2023-03-21
2023-03,30,Low (100-160),2331,-18.0,2023-03-21
2023-03,35,Low (100-160),17404,-17.0,2023-03-21
2023-03,40,Low (100-160),28779,-17.0,2023-03-21
2023-03,45,Low (100-160),27977,-17.0,2023-03-21
2023-03,50,Low (100-160),22422,-17.0,2023-03-21
2023-03,55,Low (100-160),17325,-18.0,2023-03-21
2023-03,60,Low (100-160),13613,-17.0,2023-03-21
2023-03,65,Low (100-160),11477,-17.0,2023-03-21
2023-03,70,Low (100-160),9445,-17.0,2023-03-21
2023-03,75,Low (100-160),5575,-18.0,2023-03-21
2023-03,80,Low (100-160),927,-19.0,2023-03-21
2023-03,85,Low (100-160),144,-21.5,2023-03-21
2023-03,25,Low (100-160),31,-17.0,2023-03-22
2023-03,30,Low (100-160),4023,-17.0,2023-03-22
2023-03,35,Low (100-160),20000,-17.0,2023-03-22
2023-03,40,Low (100-160),23902,-17.0,2023-03-22
2023-03,45,Low (100-160),19526,-17.0,2023-03-22
2023-03,50,Low (100-160),13692,-17.0,2023-03-22
2023-03,55,Low (100-160),10333,-17.0,2023-03-22
2023-03,60,Low (100-160),8459,-17.0,2023-03-22
2023-03,65,Low (100-160),6950,-17.0,2023-03-22
2023-03,70,Low (100-160),5285,-17.0,2023-03-22
2023-03,75,Low (100-160),2658,-15.0,2023-03-22
2023-03,80,Low (100-160),521,-17.0,2023-03-22
2023-03,85,Low (100-160),50,-18.0,2023-03-22
2023-03,25,Low (100-160),34,-18.0,2023-03-23
2023-03,30,Low (100-160),2693,-17.0,2023-03-23
2023-03,35,Low (100-160),10348,-17.0,2023-03-23
2023-03,40,Low (100-160),7981,-16.0,2023-03-23
2023-03,45,Low (100-160),9147,-16.0,2023-03-23
2023-03,50,Low (100-160),9715,-17.0,2023-03-23
2023-03,55,Low (100-160),9494,-17.0,2023-03-23
2023-03,60,Low (100-160),8135,-17.0,2023-03-23
2023-03,65,Low (100-160),7101,-17.0,2023-03-23
2023-03,70,Low (100-160),5662,-17.0,2023-03-23
2023-03,75,Low (100-160),2671,-16.0,2023-03-23
2023-03,80,Low (100-160),722,-17.0,2023-03-23
2023-03,85,Low (100-160),99,-18.0,2023-03-23
2023-03,25,Low (100-160),68,-18.0,2023-03-24
2023-03,30,Low (100-160),4479,-17.0,2023-03-24
2023-03,35,Low (100-160),14312,-17.0,2023-03-24
2023-03,40,Low (100-160),17357,-17.0,2023-03-24
2023-03,45,Low (100-160),12867,-17.0,2023-03-24
2023-03,50,Low (100-160),9491,-17.0,2023-03-24
2023-03,55,Low (100-160),7755,-18.0,2023-03-24
2023-03,60,Low (100-160),6582,-18.0,2023-03-24
2023-03,65,Low (100-160),4870,-18.0,2023-03-24
2023-03,70,Low (100-160),3328,-18.0,2023-03-24
2023-03,75,Low (100-160),1294,-17.0,2023-03-24
2023-03,80,Low (100-160),156,-18.0,2023-03-24
2023-03,85,Low (100-160),15,-22.0,2023-03-24
2023-03,25,Med (160-200),239,-15.0,2023-03-25
2023-03,30,Med (160-200),6202,-16.0,2023-03-25
2023-03,35,Med (160-200),19119,-17.0,2023-03-25
2023-03,40,Med (160-200),20098,-17.0,2023-03-25
2023-03,45,Med (160-200),14442,-17.0,2023-03-25
2023-03,50,Med (160-200),10679,-17.0,2023-03-25
2023-03,55,Med (160-200),8225,-17.0,2023-03-25
2023-03,60,Med (160-200),7093,-17.0,2023-03-25
2023-03,65,Med (160-200),6388,-17.0,2023-03-25
2023-03,70,Med (160-200),5185,-18.0,2023-03-25
2023-03,75,Med (160-200),2399,-17.0,2023-03-25
2023-03,80,Med (160-200),433,-19.0,2023-03-25
2023-03,85,Med (160-200),40,-24.5,2023-03-25
2023-03,25,Low (100-160),238,-19.0,2023-03-26
2023-03,30,Low (100-160),5965,-17.0,2023-03-26
2023-03,35,Low (100-160),18230,-17.0,2023-03-26
2023-03,40,Low (100-160),23188,-16.0,2023-03-26
2023-03,45,Low (100-160),21084,-16.0,2023-03-26
2023-03,50,Low (100-160),16211,-17.0,2023-03-26
2023-03,55,Low (100-160),13311,-17.0,2023-03-26
2023-03,60,Low (100-160),11784,-17.0,2023-03-26
2023-03,65,Low (100-160),10868,-17.0,2023-03-26
2023-03,70,Low (100-160),9082,-17.0,2023-03-26
2023-03,75,Low (100-160),5507,-16.0,2023-03-26
2023-03,80,Low (100-160),1847,-16.0,2023-03-26
2023-03,85,Low (100-160),329,-15.0,2023-03-26
2023-04,20,Med (160-200),503,-18.0,2023-04-17
2023-04,25,Med (160-200),2690,-18.0,2023-04-17
2023-04,30,Med (160-200),3677,-19.0,2023-04-17
2023-04,35,Med (160-200),2966,-18.0,2023-04-17
2023-04,40,Med (160-200),2076,-18.0,2023-04-17
2023-04,45,Med (160-200),1601,-19.0,2023-04-17
2023-04,50,Med (160-200),1309,-19.0,2023-04-17
2023-04,55,Med (160-200),1439,-19.0,2023-04-17
2023-04,60,Med (160-200),1317,-19.0,2023-04-17
2023-04,65,Med (160-200),1290,-19.0,2023-04-17
2023-04,70,Med (160-200),1362,-19.0,2023-04-17
2023-04,75,Med (160-200),1134,-19.0,2023-04-17
2023-04,80,Med (160-200),512,-19.0,2023-04-17
2023-04,85,Med (160-200),126,-19.0,2023-04-17
2023-04,15,Low (100-160),12,-24.0,2023-04-18
2023-04,20,Low (100-160),913,-18.0,2023-04-18
2023-04,25,Low (100-160),6050,-16.0,2023-04-18
2023-04,30,Low (100-160),10780,-16.0,2023-04-18
2023-04,35,Low (100-160),9639,-17.0,2023-04-18
2023-04,40,Low (100-160),7905,-17.0,2023-04-18
2023-04,45,Low (100-160),7146,-17.0,2023-04-18
2023-04,50,Low (100-160),6715,-17.0,2023-04-18
2023-04,55,Low (100-160),6344,-17.0,2023-04-18
2023-04,60,Low (100-160),5587,-17.0,2023-04-18
2023-04,65,Low (100-160),4808,-17.0,2023-04-18
2023-04,70,Low (100-160),3583,-17.0,2023-04-18
2023-04,75,Low (100-160),1679,-14.0,2023-04-18
2023-04,80,Low (100-160),618,-14.0,2023-04-18
2023-04,85,Low (100-160),135,-11.0,2023-04-18
2023-04,15,Low (100-160),10,-19.0,2023-04-19
2023-04,20,Low (100-160),1240,-17.0,2023-04-19
2023-04,25,Low (100-160),6018,-18.0,2023-04-19
2023-04,30,Low (100-160),5148,-19.0,2023-04-19
2023-04,35,Low (100-160),3727,-18.0,2023-04-19
2023-04,40,Low (100-160),3732,-18.0,2023-04-19
2023-04,45,Low (100-160),3825,-18.0,2023-04-19
2023-04,50,Low (100-160),3762,-18.0,2023-04-19
2023-04,55,Low (100-160),3638,-18.0,2023-04-19
2023-04,60,Low (100-160),3291,-18.0,2023-04-19
2023-04,65,Low (100-160),2892,-18.0,2023-04-19
2023-04,70,Low (100-160),2236,-17.0,2023-04-19
2023-04,75,Low (100-160),955,-17.0,2023-04-19
2023-04,80,Low (100-160),364,-16.0,2023-04-19
2023-04,85,Low (100-160),85,-15.0,2023-04-19
2023-04,15,Low (100-160),44,-19.0,2023-04-20
2023-04,20,Low (100-160),1523,-16.0,2023-04-20
2023-04,25,Low (100-160),4892,-16.0,2023-04-20
2023-04,30,Low (100-160),6056,-16.0,2023-04-20
2023-04,35,Low (100-160),6477,-17.0,2023-04-20
2023-04,40,Low (100-160),7708,-17.0,2023-04-20
2023-04,45,Low (100-160),7379,-17.0,2023-04-20
2023-04,50,Low (100-160),6074,-17.0,2023-04-20
2023-04,55,Low (100-160),5227,-17.0,2023-04-20
2023-04,60,Low (100-160),4528,-17.0,2023-04-20
2023-04,65,Low (100-160),4378,-16.0,2023-04-20
2023-04,70,Low (100-160),3342,-16.0,2023-04-20
2023-04,75,Low (100-160),1208,-15.0,2023-04-20
2023-04,80,Low (100-160),545,-14.0,2023-04-20
2023-04,85,Low (100-160),174,-12.0,2023-04-20
2023-04,15,Low (100-160),36,-23.0,2023-04-21
2023-04,20,Low (100-160),1524,-16.0,2023-04-21
2023-04,25,Low (100-160),7979,-17.0,2023-04-21
2023-04,30,Low (100-160),8772,-16.0,2023-04-21
2023-04,35,Low (100-160),7848,-17.0,2023-04-21
2023-04,40,Low (100-160),7288,-17.0,2023-04-21
2023-04,45,Low (100-160),6919,-17.0,2023-04-21
2023-04,50,Low (100-160),5962,-17.0,2023-04-21
2023-04,55,Low (100-160),5329,-17.0,2023-04-21
2023-04,60,Low (100-160),4674,-17.0,2023-04-21
2023-04,65,Low (100-160),4112,-16.0,2023-04-21
2023-04,70,Low (100-160),3583,-16.0,2023-04-21
2023-04,75,Low (100-160),1680,-16.0,2023-04-21
2023-04,80,Low (100-160),690,-17.0,2023-04-21
2023-04,85,Low (100-160),300,-16.0,2023-04-21
2023-04,15,Low (100-160),120,-21.0,2023-04-22
2023-04,20,Low (100-160),3957,-17.0,2023-04-22
2023-04,25,Low (100-160),13589,-17.0,2023-04-22
2023-04,30,Low (100-160),17476,-16.0,2023-04-22
2023-04,35,Low (100-160),16450,-16.0,2023-04-22
2023-04,40,Low (100-160),12947,-16.0,2023-04-22
2023-04,45,Low (100-160),10701,-17.0,2023-04-22
2023-04,50,Low (100-160),9365,-17.0,2023-04-22
2023-04,55,Low (100-160),9272,-17.0,2023-04-22
2023-04,60,Low (100-160),8765,-17.0,2023-04-22
2023-04,65,Low (100-160),7825,-17.0,2023-04-22
2023-04,70,Low (100-160),6085,-18.0,2023-04-22
2023-04,75,Low (100-160),2624,-17.0,2023-04-22
2023-04,80,Low (100-160),734,-17.0,2023-04-22
2023-04,85,Low (100-160),99,-19.0,2023-04-22
2023-04,15,Low (100-160),1,-20.0,2023-04-23
2023-04,20,Low (100-160),391,-20.0,2023-04-23
2023-04,25,Low (100-160),1150,-14.0,2023-04-23
2023-04,30,Low (100-160),1866,-16.0,2023-04-23
2023-04,35,Low (100-160),1590,-18.0,2023-04-23
2023-04,40,Low (100-160),1635,-18.0,2023-04-23
2023-04,45,Low (100-160),2435,-15.0,2023-04-23
2023-04,50,Low (100-160),3242,-16.0,2023-04-23
2023-04,55,Low (100-160),2790,-17.0,2023-04-23
2023-04,60,Low (100-160),1828,-17.0,2023-04-23
2023-04,65,Low (100-160),1469,-16.0,2023-04-23
2023-04,70,Low (100-160),2005,-16.0,2023-04-23
2023-04,75,Low (100-160),2186,-16.0,2023-04-23
2023-04,80,Low (100-160),687,-18.0,2023-04-23
2023-04,85,Low (100-160),150,-16.0,2023-04-23
2023-05,10,Low (100-160),167,-16.0,2023-05-15
2023-05,15,Low (100-160),2288,-17.0,2023-05-15
