date,n,es_fraction,fobs,kp_mean
2023-06-19,249614,0.11029830057608948,168.8,2.354864606953136
2023-06-20,224270,0.10711196325857225,180.1,1.8852497569893432
2023-06-21,228900,0.09948012232415902,176.4,1.2795827741371777
2023-06-22,237487,0.10398042840239677,173.2,2.2878899392387795
2023-06-23,256093,0.11015139031523705,169.7,2.0949150816305013
2023-06-24,273129,0.1266105027294795,160.8,2.97222643146645
2023-06-25,253135,0.12086436091413673,154.8,2.4412878148023784
