term,coef,se,t,p_value
intercept,6.482829071168439,0.13260430353936267,48.888526979398186,0.0
Kp,0.014622124893144437,0.01199599351253581,1.2189173725264455,0.2228969262269261
fobs,-0.0021417629340170796,0.0007417310602212294,-2.887519545666964,0.0038891113317200206
sza_bin,-0.0026766179055892213,0.0004978354544299752,-5.37651121825778,7.721132849192867e-08
season_winter,-0.5110312876504165,0.05339217003465006,-9.571277723283604,1.237425249989647e-21
season_spring,-0.1894848066672347,0.046626840066461984,-4.0638569201160255,4.8542633491439634e-05
season_autumn,-0.47392234101668884,0.04896599687659572,-9.678600891370998,4.38792958571977e-22
